ZOTU_ID	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
ZOTU_6663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	4	0	1	3	0	7	45	2	1	1	3	11	27	0	3	4	30
ZOTU_3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	3	1	7	4	1	0	0	2
ZOTU_6125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	3	0	0	0	0	0
ZOTU_6684	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0
ZOTU_2528	0	0	0	0	0	0	37	4	22	3	3	34	0	2	27	3	5	11	10	1	19	0	1	19	5	1	7	1	0	16	0	0	11	0	4	11	9	0	23	0	1	2	11	0	1	0	0	3
ZOTU_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	35	0	8	40	6	8	79	0	15	91	102	44	165	24	56	53	117	58	86	12	57	75	17	24	38	7
ZOTU_3451	0	0	2	1	0	0	0	3	0	11	6	2	0	1	0	3	6	0	0	3	1	5	7	0	0	9	3	1	10	1	0	7	1	3	10	1	1	2	5	4	9	2	1	6	0	2	2	4
ZOTU_4720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	16	16	1	13	6	45	13	8	1	1	0	23
ZOTU_8161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	6	2	1	1	0	1	17	0	0	1	0	17	12	5	0	10	1	28	13	2	11	28	17
ZOTU_3750	0	0	0	1	0	0	0	1	0	3	2	0	0	0	0	4	0	0	1	5	1	6	6	0	7	4	0	3	12	2	2	8	1	2	4	2	7	3	1	4	4	1	3	1	0	0	0	0
ZOTU_109	0	1	0	0	0	0	0	25	29	91	80	26	0	8	12	18	17	8	0	36	16	10	21	17	0	19	9	42	31	18	1	16	28	15	29	31	0	7	26	28	37	19	0	8	5	37	13	60
ZOTU_1255	6	7	6	2	0	7	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ZOTU_198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	13	0	0	2	18	54	7	0	1	0	9	29	29
ZOTU_158	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	12	139	0	2	0	10	25	35	0	6	0	2	1	13	0	3
ZOTU_122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	140	1813	12	50
ZOTU_426	3	1	2	3	5	0	0	0	0	0	0	0	2	0	0	0	2	0	2	1	2	2	3	0	6	3	0	4	0	0	2	0	1	1	1	3	1	0	2	0	0	0	1	0	0	0	0	0
ZOTU_102	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	6	1	10	6	0	0	6	17	8	7	7	0	13	23	56	28	5	0	239	33	145	265	97
ZOTU_1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0
ZOTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	1	1	0	0	3	1	0	0	3	1	11	2	1	9	32	7	7	1	95	18	4	0	0	0	18
ZOTU_914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	1	0
ZOTU_6077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	4	3	0	0	0	2	3	5	34	2
ZOTU_2459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	8	0	2	1	0	18	18	1	0	6	0	11	15	1	1	12	2
ZOTU_371	8	7	5	3	8	8	0	0	0	1	0	0	1	0	0	0	1	0	0	4	2	0	4	1	1	8	0	4	1	2	1	5	3	0	1	4	2	2	0	2	0	0	6	2	0	0	0	5
ZOTU_4965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8	9	10	1	1	0	28
ZOTU_7322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ZOTU_2263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	37	0	2	0	0	0	5	0	2
ZOTU_16	1	0	1	1	0	1	0	0	0	0	0	0	34	54	4	79	22	8	317	1573	480	1871	2334	436	2828	1275	586	2835	1886	553	118	216	255	438	235	595	111	57	125	111	173	71	23	29	12	7	74	16
ZOTU_4213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	6	2	16	1	1
ZOTU_2314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	2	1	1	0	16	0	6	0	1	2	0	0	6	0	0	1	17	0	7	1	0	1	11	0	0	0	0	0
ZOTU_2220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	6	0	0	1	0	0	11	0	3	4	0	24	51	2	1	11	3	19	47	0	7	35	5
ZOTU_1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	2	1	1	13	0	1	0	0	3	3	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	3
